Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;TempRet;Hall2Offset;Hall2Radiation;cp;mflow;deltaT;Qflow
1155600;2541.726866;0.000194051;0.188905125;0.654305716;314.2689553;307.0797757;14.35116805;299.3216654;4.18;0.194050577;7.189179631;-5831.369428
1166400;2547.422914;0.000195328;0.178100363;0.65528593;311.4343705;305.041513;14.58810888;299.1861748;4.18;0.195328458;6.392857565;-5219.595312
1177200;2547.364989;0.000194858;0.178494382;0.655294825;311.7022325;304.9402905;13.88442211;298.4484207;4.18;0.19485786;6.761941992;-5507.641332
1188000;2547.455893;0.000193366;0.202152722;0.655310078;312.1969302;305.0335565;13.99856836;298.55;4.18;0.193366264;7.163373629;-5789.947045
1198800;2547.423513;0.000194582;0.193354458;0.65530612;312.6694759;305.2541783;14.06384505;298.5375269;4.18;0.19458215;7.41529757;-6031.257388
1209600;2547.365439;0.000195054;0.19241189;0.655308282;313.4208924;305.583782;14.16857143;298.4360814;4.18;0.195054293;7.837110395;-6389.807285
1220400;2547.288244;0.000195054;0.193675217;0.65531694;314.381538;305.9687676;13.91385499;298.2992462;4.18;0.195054293;8.412770375;-6859.158378
1231200;2547.371895;0.0001961;0.195367869;0.655311334;315.0350959;306.5205465;13.55643422;298.6425953;4.18;0.196100462;8.514549339;-6979.37552
1242000;2547.32766;0.000195823;0.194180307;0.655304102;314.9496454;306.8368794;14.15838733;298.9440245;4.18;0.19582348;8.112766087;-6640.64097
1252800;2547.41978;0.000195808;0.18261539;0.655272793;313.7689149;306.5514647;14.46523669;299.3495562;4.18;0.195807893;7.217450177;-5907.316912
1263600;2547.463121;0.000195666;0.172792363;0.65528419;312.2540425;305.6542552;14.03584229;298.994086;4.18;0.195665876;6.599787354;-5397.856257
1274400;2547.341826;0.000194543;0.171157365;0.655292589;310.769179;304.6254423;13.6313529;298.8590909;4.18;0.194542735;6.143736686;-4996.016827
1285200;2547.422096;0.000194326;0.167334571;0.655301987;310.0886686;303.9582153;13.6078853;298.5153763;4.18;0.194326405;6.130453257;-4979.671387
1296000;2547.385866;0.000194425;0.174575367;0.655319449;310.5691519;303.9558658;13.84116809;298.2871083;4.18;0.19442481;6.613286115;-5374.589234
1306800;2547.423213;0.000194405;0.173634359;0.655319506;311.4715146;304.4404458;13.82293907;298.25;4.18;0.194405124;7.031068782;-5713.540828
1317600;2547.453966;0.00019653;0.188399804;0.655328565;312.6362607;305.047946;13.90792291;298.3408637;4.18;0.196529742;7.58831462;-6233.757378
1328400;2547.396893;0.000199682;0.1866187;0.655329855;313.2399011;305.5867941;13.78984989;298.1961758;4.18;0.199682201;7.653107007;-6387.831083
1339200;2547.344193;0.000197749;0.187183027;0.65532133;313.3307366;305.2223792;12.79124821;295.8893113;4.18;0.197749447;8.10835732;-6702.308864
1350000;2547.346072;0.000194503;0.190882211;0.655328577;313.5697452;305.2181525;12.47772989;296.1193247;4.18;0.194503417;8.351592669;-6790.047655
1360800;2547.36995;0.000194425;0.193083943;0.655349139;313.856591;305.3459601;12.92826399;297.0379484;4.18;0.194424755;8.510630965;-6916.551267
1371600;2547.395597;0.000194168;0.202557506;0.655340658;314.6440342;305.7586647;13.17469446;297.3997484;4.18;0.194168242;8.88536952;-7211.572492
1382400;2547.456598;0.000194307;0.202585968;0.655316674;316.0219125;306.4564218;13.2804878;297.5960545;4.18;0.194307219;9.565490663;-7769.13144
